post_id,comment_id,polarity,comment_text
B5,32231,neutral,that’s the china squat
B5,32459,neutral,2 assuming the position  😂 😂 😂
B5,32648,neutral,when you just gotta go...
B5,34054,neutral,😂 😂 😂 😂 😂 😂 😂 😂potty  😂 😂 😂 😂
B5,34649,positive,cute  ❤️
B5,34796,neutral,hey KIM  🌞
B5,34818,positive,young forever  ❤️ 🔥 👏
B5,34862,negative,are you shitting in a cement toilet?
C1,35194,negative,then unfollow
C1,35221,neutral,it’s lowkey giving jen shah vibes
C1,35238,negative,our fur has history it’s not just killing an animal for fur. not everyone is american. maybe look up others history before speaking on something you don’t understand lol and all my dogs are fixed today. so ya nice try
C1,35250,positive,slay queen
C1,35297,positive,"A person's dreams visions are the most valid connection and are the keys to many secret worlds and real unuverses we never knew existed. this is the reason for a person having dreams because we need a way out of this designed passing dream which everyone thinks is the real conscious life but it's not. those who do not dream or remember their dreams by practicing the nusound, singing the nu~u~u before you fall asleep for 5-10 minutes you will start to have recollections as your real awareness steps in and the real universal guides will gently reveal your nu adventure to you."
C1,36343,neutral,the WE wear real fur took me out  😂 😂 😂 I’m pretty sure khloe can afford real fur IF she wanted to wear REAL fur she would have  😭
C1,36499,positive,so beautiful chloe!  you & kourtney have always been my favorite
C1,36501,negative,desperateeeeeeee to show off  😂
C1,36960,positive,sexy thing you. in the snow
C1,37057,positive,yes mob wife vibes can I be a mob wife too 😁
C1,37501,positive,khloe hotter than kim now
C1,37548,negative,this family makes me sick.
C1,37569,negative,ridiculous. self proclaimed mob vibes  😂  🙄 🥱 😴
C2,38504,positive,beauty always have and always will be  ❤️
C2,39088,strongly positive,best shoot you’ve ever done  😍
C2,39510,strongly negative,someone needs to get fired!  most ridiculous
C2,39739,neutral,🍎 🕺
C2,39949,strongly positive,love  🔥 🔥 🔥 🔥 🔥 🔥
C3A,40498,positive,🔥 🔥 🔥 🔥queen
C3A,40526,strongly positive,she's gorgepus beautiful sexy and hot the most cuttiest of her family huge fan  🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰
C3A,40717,strongly positive,👏 👏 👏 🔥 🔥 🔥 🙌 🙌 🙌 ❤️ ❤️
C3A,41062,positive,"god bless you, I love you"
C3A,41750,strongly positive,you are a beautiful and attractive girl  👏 👏 ❤️ ❤️
C3B,42048,neutral,she ain't armenian  🤣her father is american
C3B,42059,positive,yasss for the tallssssss  🙌 👏 🔥
C4,42694,strongly negative,"yeah we know, it's sad honestly and pathetic, I'll give you this you were smart enough to stay on the coattail and not f*** it up"
C4,43394,neutral,....without a doubt. but here I reckoned it was all just an adolescent hype  🔗 ⚎
C5,43861,strongly positive,💙 🤍 💙 🤍
C5,43996,positive,🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲 🫶 🏽 🫶 🏽love you
C5,44179,positive,love the light denim  😍 even in the winter  ❄️
D1,45466,positive,"""if you can't love the one you love, then love the one you're with"" SMH every picture of your LAY-DOWN-seks pose I don't believe you can read"
D1,45779,positive,thank n love for your compliments  😘
D1,45864,negative,"girl, you using falsies c‘mon  😭"
D1,45927,positive,hi queen
D1,46431,strongly positive,LB CB  ❤️ 🖤 🤍 💚
D1,46616,neutral,🥶 🥶 🥶
D1,46756,positive,ICONIC… 🔥
D1,46966,positive,"hello, gorgeous... 😍"
D2,47555,positive,sexyyyy soow big
D2,47754,positive,i love kendallllllll
D2,47862,positive,fellow classic porsche gal who respects other classic porsche gals who find freedom in a manual 993!  🔥
D2,48854,positive,cute and nice car
D2,49077,strongly positive,"omg so hot, that girl is lucky"
D2,49131,neutral,my name is not igor
D3,49680,positive,"I won’t start  🥹
love you  ❤️ maybe need a break from me tagging you on X"
D3,49775,negative,dont even bother with the K /UM DU /MP shes been ban /ged so many times her braings have been fo /cked out. they’ve lost their influence and are desperatly trying to get attention but they know its over.
D3,49934,strongly positive,❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️
D3,50836,neutral,"wanna hear a joke... all I got to do,is,touch my feet n spell R.U.N. 3 times  😃"
D3,50886,strongly positive,absolutely gorgeous as usual!! 👏 👏 ❤️
D3,51624,positive,pretty 😍 😍
D3,51626,positive,how is everything? you look like you're having fun.
D3,51727,neutral,and threesome « ménage à trois » with   😂 😂
D3,51850,strongly positive,pristinely breathtaking and stunning pictures.  you should frame them
D4,52554,positive,ur naturally pretty...A gift
D4,52655,negative,olalala elle me saoule IM NOT INTERESTED THANK YOU
D4,52686,neutral,🌼 ✨ 🦋
D4,53375,neutral,nhi degi bhai kyu sabse pehle muh uthake pahuch jata hai like krne
D4,53653,positive,your my love
D4,53703,negative,"fortunately it is, she doesn’t seem to have any values"
D4,54006,positive,how can u be so perfect  🥺 ♥️ 🫶 🏻
D4,54219,negative,"what me?, weirdo 💀 bro it's 12:12 PM rn"
D4,55866,positive,❤️ ❤️  🔥 🔥  👼 👼
D4,55945,positive,nawww I’m so happy your wearing what I got u  💪 🏾
D5,56490,positive,I ❤️ 🥹 😍
D5,56598,neutral,🧑‍ 🎄
D5,56720,strongly negative,💀 💀
D5,56732,neutral,🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️
D5,56867,positive,there’s a difference between super cute and delicious.  weirdo
D5,57256,strongly positive,you look like a real xmas gift all wrapped up  🎄ready to enjoy the xmas evening  🌹 💕
D5,57486,positive,😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉 😉
D5,57717,negative,"I dont like  her,shes tryna  be better than kimmy"
D5,57739,strongly positive,gorgeous dear  🔥
D5,57890,positive,you looked sensational kendoll
D5,58192,positive,the only natural beauty
D5,58320,positive,you are beautiful kendall.
D5,58439,positive,you radiate!!  ❤️
D5,58828,positive,you would look amazing in this dress
D5,58874,positive,kendall is my love  💓 end of storie  💓  🙋‍ ♂️
D5,59308,neutral,how do you know.?
D5,59819,positive,I love you bbe
D5,60006,neutral,is that the  nipple bra?
D5,60018,positive,my cute girlll 🦋 🦦
D5,60097,positive,gorgeous kendall！ 🔥
D5,60146,strongly positive,SO BEAUTIFUL  ❤️ 🔥 😍
D5,60243,neutral,👅 👅 🍑 🍑
D5,61138,neutral,up yours
D5,61433,positive,prettyyyy  😍 ❤️ 👏 👏
D5,62005,positive,breathtaking beauty  😍 🔥 ❤️ 👏
E1,62511,neutral,she’s just promoting her product that’s at target
E1,62736,neutral,"obviously I can't stop them, right? gees"
E1,63128,negative,it's a shoot you fool!
E1,63317,positive,literally my favourite kardashian
E1,63757,positive,your full of energy
E1,63798,negative,"just another ploy for a ""celebrity"" to try & make money off of people."
E1,64234,positive,❤️ ❤️ ❤️ 🔜 🔜 🔜 🔜 💋 💋 💋 💋
E2,64559,positive,🔥tht jacket looks so beautiful on you kourtney we luv you
E2,64720,negative,why don't y'all mine your business and find something to do instead of worrying about other people's problems
E2,64910,positive,the coolest
E2,65395,positive,it’s the best product been using it for over a week I’m so impressed.  ❤️thank you
E2,65402,positive,good night kut
E2,65438,neutral,and they are sold out at my target!
E2,65705,positive,congratulations  🎉 that’s huge
E2,65761,positive,"the thinkie winks cartoon characters encourage kids to think positive thru love,kindness, peace and self control. the thinkie winks worldwide weekly cartoon series is so necessary!"
E2,65785,positive,"lemme purr has been a heavens sent to my kitty, thanks kourt  💅 🏻"
E2,65806,neutral,I look at every target- still not there!
E2,65914,neutral,did they close the store  😂! was the store organic enough for kourtney  😂 😂
E2,65932,neutral,wish my target had more of a selection of lemme vitamins. they only have 2
E2,66244,positive,how tf she look like that in the security camera and I look like a damn potato when I look at myself in the camera  🤣 go kourtney!
E2,66409,neutral,"and here you are, commenting which does actually support her algorithm. played yourself"
E2,66841,positive,dude you’re like the best  ❤️
E3,67209,positive,🔥 gorgeousness
E3,67249,positive,love your energy  ❤️
E3,67292,positive,🍾 🥂  love u both  xx
E3,67450,positive,she is an amazing mom. the only decent parent on the show
E3,67455,positive,Ĥappy new year ...best wishes to you and husband ; he is indeed a hero..is it a boy or  girl.. ❤️..stay  🔥warm
E3,67555,positive,not the cozy coat  🖤 😂
E3,67745,positive,in love with that coat!
E3,67877,positive,girl you look fantatic thick
E3,68161,positive,body look like it’s bodying .. the natural way  ❤️‍ 🔥
E3,68281,positive,not me watching KUWTK while looking at this picture  😹
E3,68664,neutral,I don't understand why you wrote me that and what you're laughing about. are you ok?
E3,69018,positive,you look good honey 🔥
E3,69232,neutral,merry christmas  🎁 🎄
E3,69414,positive,almost didn't recognize you!  ❤️
E3,69487,negative,the other possible reason is you just didn’t want to wear clothes because you and your sisters- the ones that birth their own kids hide your figures for at least a year after birth because you can’t possibly be human or relatable and show a postpartum body.
E3,69696,neutral,too relatable
E3,70119,strongly positive,looking friggin beautiful  ❤️
E3,70690,positive,merry christmas queen  👸
