post_id,comment_id,comment_text,pos,neg,neu,compound,polarity
A1,10225,kay  🔥  🔥  🔥  🔥  🔥  🔥  🔥,0.951,0.0,0.049,0.9559,strongly positive
A1,10226,kylie.what?you and your sisters don't seek my partner approval.yet mom does.what do you and sisters expect!lmao,0.0,0.0,1.0,0.0,neutral
A1,10227,you’re so pretty  🥹,0.538,0.0,0.462,0.5413,strongly positive
A1,10229,😍  ❤ ️,0.59,0.0,0.41,0.802,strongly positive
A1,10230,HOT miss jenner,0.53,0.289,0.181,0.3254,positive
A1,10231,🔥  🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.778,0.0,0.222,0.9818,strongly positive
A1,10232,say that to your forehead wrinkles she’s not aging,0.0,0.0,1.0,0.0,neutral
A1,10233,queen ❤ ️ 🔥,0.84,0.0,0.16,0.8885,strongly positive
A1,10234,shera did it first,0.0,0.0,1.0,0.0,neutral
A1,10236,❤ ️ ❤ ️ ❤ ️ 🙌  🙌  😍,0.545,0.0,0.455,0.9485,strongly positive
A1,10240,💋 firsts,0.583,0.0,0.417,0.4215,positive
A1,10241,I love youuuuu,0.677,0.0,0.323,0.6369,strongly positive
A1,10243,💖  🤩  💎  🔥  🔥  🔥  🔥,0.854,0.0,0.146,0.9485,strongly positive
A1,10244,V niceee  ❤ ️  🥰,0.622,0.0,0.378,0.91,strongly positive
A1,10245,look how cute a beautiful flower,0.633,0.0,0.367,0.7845,strongly positive
A1,10248,youz,0.0,0.0,1.0,0.0,neutral
A1,10251,ky is really spoiling her insta lately,0.0,0.0,1.0,0.0,neutral
A1,10252,❤ ️ stunning,0.773,0.0,0.227,0.7783,strongly positive
A1,10253,that elevator looks gross,0.0,0.508,0.492,-0.4767,negative
A1,10254,cute  🥰  🍓,0.72,0.0,0.28,0.8834,strongly positive
A1,10255,or wherever that is,0.0,0.0,1.0,0.0,neutral
A1,10256,❤ ️ ❤ ️ ❤ ️ 😍  😍  😍  😍,0.577,0.0,0.423,0.9766,strongly positive
A1,10257,follow,0.0,0.0,1.0,0.0,neutral
A1,10259,she looks a mess  ☠ ️ ☠ ️,0.0,0.552,0.448,-0.9022,strongly negative
A1,10260,she doesn’t look 16 anymore shes grown,0.0,0.0,1.0,0.0,neutral
A1,10261,"I think you are amazing, but whatever your using has stolen allllllll that natural beauty  😢",0.347,0.27,0.383,0.34,positive
A1,10262,🌶 ️red chilli hot 🌶 ️,0.569,0.0,0.431,0.6808,strongly positive
A1,10266,😂  😂,0.437,0.218,0.345,0.7003,strongly positive
A1,10270,gorgeous  ❤ ️,0.804,0.0,0.196,0.8481,strongly positive
A1,10271,rowssss  ❤ ️,0.583,0.0,0.417,0.6369,strongly positive
A1,10278,sorry but she’s loosing the grip on photo shoots.  don’t see that effort of style poise on these photos,0.0,0.06,0.94,-0.0387,negative
A1,10281,I love u,0.677,0.0,0.323,0.6369,strongly positive
A1,10284,"poor kylie, she hates herself so much.  😭",0.0,0.572,0.428,-0.8542,strongly negative
A1,10285,gorgeous  😍  😍  😍  😍,0.571,0.0,0.429,0.9432,strongly positive
A1,10287,QUEEN IN RED ❤ ️‍ 🔥  🔥,0.778,0.0,0.222,0.9329,strongly positive
A1,10292,STUNNING,1.0,0.0,0.0,0.3818,positive
A1,10293,it’s giving him..  💋  ‼ ️,0.426,0.0,0.574,0.6369,strongly positive
A1,10294,what dirty azzzzzz place is she at  😂,0.216,0.273,0.511,-0.0,neutral
A1,10295,✌ ️ ❤ ️ 🎵  🎸  😋,0.425,0.0,0.575,0.8126,strongly positive
A1,10296,what are thooooooose  😭,0.0,0.383,0.617,-0.4767,negative
A1,10301,first ❤ ️,0.583,0.0,0.417,0.6369,strongly positive
A1,10305,💖  LBBLBB CBB ROW  💖,0.889,0.0,0.111,0.9436,strongly positive
A1,10309,YOU in red  😮 ‍ 💨  🔥  👏,0.345,0.0,0.655,0.7003,strongly positive
A1,10310,that wall is so nasty & dirty  🤢  🤢,0.0,0.679,0.321,-0.9411,strongly negative
A1,10311,granny's hot to trot  😂,0.432,0.137,0.432,0.6249,strongly positive
A1,10313,I love you kizzle  ❤ ️,0.627,0.0,0.373,0.8555,strongly positive
A1,10315,❤ ️ ❤ ️ 😍  😍  😍,0.572,0.0,0.428,0.9545,strongly positive
A1,10316,kylie why u in the ghetto,0.0,0.0,1.0,0.0,neutral
A1,10317,😍  😍  😍  ❤ ️ ❤ ️ ❤ ️,0.59,0.0,0.41,0.9705,strongly positive
A1,10318,the wall  ick  🤢,0.0,0.467,0.533,-0.5423,strongly negative
A1,10320,💜  💜  💜  😍  😍  😍  😍  💜  💜  💜  💜  😍  💜  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  💜  💜  💜  😍,0.553,0.0,0.447,0.9998,strongly positive
A1,10321,hair is so dreamy,0.0,0.0,1.0,0.0,neutral
A1,10322,you appear to be born in 07 and you look older than kylie,0.0,0.0,1.0,0.0,neutral
A1,10323,"no I don't look older than kylie. and I'm not born in 07. that is not my year of born, sorry.",0.0,0.156,0.844,-0.3612,negative
A1,10324,I luv kylie but yes I wouldn't need to ID her,0.262,0.0,0.738,0.5499,strongly positive
A1,10325,feel like u inspired this look  ❤ ️,0.623,0.0,0.377,0.872,strongly positive
A1,10328,shoes need to go bye bye.,0.0,0.0,1.0,0.0,neutral
A1,10336,stunning bbg,0.722,0.0,0.278,0.3818,positive
A1,10338,all I see is dirty walls and floor,0.0,0.293,0.707,-0.4404,negative
A1,10340,how does she look older than  ? WTF,0.0,0.393,0.607,-0.6739,strongly negative
A1,10341,she looks older than kris  😮,0.0,0.0,1.0,0.0,neutral
A1,10344,🔥  😮,0.412,0.0,0.588,0.4215,positive
A1,10349,my red queen 😍,0.565,0.0,0.435,0.7579,strongly positive
A1,10353,"went from king kylie, to queen kylie 🔥",0.512,0.0,0.488,0.743,strongly positive
A1,10354,😍  ❤ ️ 😍  ❤ ️ 😍  ❤ ️ ❤ ️ 😍  ❤ ️ 😍  ❤ ️ 😍  ❤ ️ ❤ ️,0.603,0.0,0.397,0.9947,strongly positive
A1,10357,who takes these pictures. the poses are awful,0.0,0.3,0.7,-0.4588,negative
A1,10359,oooh love this red girl !!  🔥  ❤ ️ 😍,0.597,0.0,0.403,0.9411,strongly positive
A1,10360,you are cute them shoes are not!  😂,0.493,0.0,0.507,0.8298,strongly positive
A1,10361,❤ ️ 🔥,0.778,0.0,0.222,0.7906,strongly positive
A1,10363,does not even look like young  beautiful kylie.,0.325,0.176,0.5,0.4195,positive
A1,10364,no soportaron tus medias rojas pero tu fashion nunca infashion  🙊  ✨,0.148,0.142,0.71,0.0258,positive
A1,10365,😍  😍,0.5,0.0,0.5,0.7184,strongly positive
A1,10366,CBCBCB,0.0,0.0,1.0,0.0,neutral
A1,10378,homeless chic,0.677,0.0,0.323,0.2732,positive
A1,10383,"do you ever just have a day where you don't bother wish hair and makeup, sit around eating snacks and watching movies all day?",0.077,0.086,0.837,-0.0572,negative
A1,10384,telling my kids this was doña lety  ❤ ️,0.318,0.0,0.682,0.6369,strongly positive
A1,10385,this 😍,0.429,0.0,0.571,0.4588,positive
A1,10386,not an up close beauty…. more of a pull back kinda allure,0.0,0.0,1.0,0.0,neutral
A1,10390,😍  😍  😍  😍  😍,0.5,0.0,0.5,0.9325,strongly positive
A1,10392,🤲  ✨ ️ 💫  👐  ❤ ️ 🥰  😘  😊,0.545,0.046,0.41,0.967,strongly positive
A1,10393,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.677,0.0,0.323,0.9719,strongly positive
A1,10394,5+ inches above the struggle like.... 😉,0.231,0.213,0.556,0.0516,positive
A1,10397,😂  😂  😂,0.437,0.218,0.345,0.8271,strongly positive
A1,10403,❤ ️ 🔥  😍,0.667,0.0,0.333,0.875,strongly positive
A1,10405,she’s perfect,0.787,0.0,0.213,0.5719,strongly positive
A1,10406,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.677,0.0,0.323,0.9887,strongly positive
A1,10410,first  ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.651,0.0,0.349,0.9571,strongly positive
A1,10411,first  ❤ ️ ❤ ️,0.627,0.0,0.373,0.8555,strongly positive
A1,10412,first  😍,0.429,0.0,0.571,0.4588,positive
A1,10418,first  😍  😍  😍,0.474,0.0,0.526,0.8402,strongly positive
A1,10420,CBBBB  ❤ ️,0.583,0.0,0.417,0.6369,strongly positive
A1,10421,red  ❤ ️ 🔥  😍,0.625,0.0,0.375,0.875,strongly positive
A1,10422,that’s what she said  🔥  🔥  🔥,0.677,0.0,0.323,0.8126,strongly positive
A1,10424,"you are beautiful, my kylie",0.494,0.0,0.506,0.5994,strongly positive
A1,10431,💅,0.0,0.0,1.0,0.0,neutral
A1,10433,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.677,0.0,0.323,0.9803,strongly positive
A1,10435,🔥  ❤ ️ 💋  🌹,0.71,0.0,0.29,0.8689,strongly positive
A1,10436,how are you,0.0,0.0,1.0,0.0,neutral
A1,10437,what's your favourite thing about,0.0,0.0,1.0,0.0,neutral
A1,10441,♦ ️ ♦ ️ ♦ ️,0.545,0.0,0.455,0.7351,strongly positive
A1,10444,😍  😍  😍  😍  😍  😍  😍,0.5,0.0,0.5,0.9638,strongly positive
A1,10445,🌶 ️,0.524,0.0,0.476,0.296,positive
A1,10446,omg you can't even move your face  😵 ‍ 💫,0.099,0.29,0.611,-0.3612,negative
A1,10449,🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥,1.0,0.0,0.0,0.9866,strongly positive
A1,10454,loooooves you for reals,0.0,0.0,1.0,0.0,neutral
A1,10460,michelle and high heels  👠  are very good for the heart  ❤,0.513,0.0,0.487,0.9117,strongly positive
A1,10462,yesss   ❤ ️ ❤ ️ ❤ ️,0.643,0.0,0.357,0.9274,strongly positive
A1,10463,queen  ❤ ️,0.794,0.0,0.206,0.8271,strongly positive
A1,10465,her face doesn’t move ….,0.0,0.0,1.0,0.0,neutral
A1,10468,stunning in red ❤ ️,0.63,0.0,0.37,0.7783,strongly positive
A1,10469,does this make your life better in any way?,0.266,0.0,0.734,0.4404,positive
A1,10470,love u  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥,0.782,0.0,0.218,0.9864,strongly positive
A1,10471,✨  💛  💛  💛  💛  💛  💛  💛  👑  💛  💛  💛  💛  💛  💛  💛  ✨,0.827,0.0,0.173,0.997,strongly positive
A1,10472,you have lost so much weight  😭,0.0,0.435,0.565,-0.6597,strongly negative
A1,10473,love ❤ ️,0.808,0.0,0.192,0.8555,strongly positive
A1,10475,beautiful,1.0,0.0,0.0,0.5994,strongly positive
A1,10476,the music,0.0,0.0,1.0,0.0,neutral
A1,10479,❤ ️ ❤ ️ 💋,0.691,0.0,0.309,0.9042,strongly positive
A1,10480,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.677,0.0,0.323,0.9928,strongly positive
A1,10481,change your hairstyle its makes you a lil older,0.0,0.0,1.0,0.0,neutral
A1,10495,😍  😍  😍  😍  😍  👏  👏  🔥  🔥  👏  😍  👏  🔥  🔥  ❤ ️ ❤ ️ ❤ ️,0.658,0.0,0.342,0.9945,strongly positive
A1,10496,❤ ️‍ 🩹,0.583,0.0,0.417,0.6369,strongly positive
A1,10497,"there are some things that even kylie jenner, can’t get away with. this outfit is horrendous especially those shoes",0.0,0.174,0.826,-0.5859,strongly negative
A1,10498,♥ ️,0.677,0.0,0.323,0.6369,strongly positive
A1,10500,flirty red...,0.615,0.0,0.385,0.1531,positive
A1,10501,💖,1.0,0.0,0.0,0.7506,strongly positive
A1,10507,😮  😍,0.3,0.0,0.7,0.4588,positive
A1,10508,♥ ️ ♥ ️ ♥ ️,0.677,0.0,0.323,0.9274,strongly positive
A1,10509,wtf is this? you on drugs?,0.0,0.454,0.546,-0.6322,strongly negative
A1,10511,KYLIE LINDAAAA EU TE AMO MARAVILHOSA 😍  😍  ❤ ️ ❤ ️,0.474,0.0,0.526,0.9371,strongly positive
A1,10515,beautiful woman i want you,0.634,0.0,0.366,0.6369,strongly positive
A1,10518,🧡  🧡  🧡,0.808,0.0,0.192,0.9274,strongly positive
A1,10521,background  😮  ?!! for modelling ! appalling,0.0,0.273,0.727,-0.5229,strongly negative
A1,10522,you can’t stop yourself. been posting since every other minute,0.0,0.196,0.804,-0.296,negative
A1,10523,stunning  🔥,1.0,0.0,0.0,0.6597,strongly positive
A1,10525,red on you>>>>>>>>,0.0,0.0,1.0,0.0,neutral
A1,10526,🔥  😍,0.659,0.0,0.341,0.7003,strongly positive
A1,10528,🙏  ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.627,0.0,0.373,0.9571,strongly positive
A1,10530,gorgeous  😍  👄  ❤ ️,0.651,0.0,0.349,0.9042,strongly positive
A1,10532,I love this outfit  🤣  🤣,0.491,0.0,0.509,0.891,strongly positive
A1,10533,👏  👏,0.75,0.0,0.25,0.7184,strongly positive
A1,10537,I was thinking the same thing man she's only 26. this isn't hating either but I wouldn't even ID her,0.089,0.0,0.911,0.2146,positive
A1,10541,💞  💞,0.811,0.0,0.189,0.8625,strongly positive
A1,10545,FIRST  ❤ ️ ❤ ️,0.627,0.0,0.373,0.8555,strongly positive
A1,10546,😍  💜  💓  💓  💓  💓  💓  🌹  🌹  🌹  💋,0.642,0.215,0.143,0.9794,strongly positive
A1,10548,love this era of kylie not giving af,0.343,0.166,0.49,0.4878,positive
A1,10549,🙌  🙌  🙌  🙌,0.0,0.0,1.0,0.0,neutral
A1,10554,gorgeous so beautiful oh my goodness ❤ ️ ❤ ️,0.737,0.0,0.263,0.9665,strongly positive
A1,10558,😘  😘  😘,0.483,0.0,0.517,0.8126,strongly positive
A1,10560,kylie trying to prove in the last video that she doesnt have any wrinkles  😢  😢  but still looks mature,0.138,0.153,0.709,0.1531,positive
A1,10562,❤ ️ ❤ ️ ❤ ️ 🔥  🔥,0.752,0.0,0.248,0.9595,strongly positive
A1,10566,🔥  🔥  🔥  🔥  🔥,1.0,0.0,0.0,0.9186,strongly positive
A1,10572,love  you are stunning,0.773,0.0,0.227,0.7783,strongly positive
A1,10573,😢,0.0,0.756,0.244,-0.4767,negative
A1,10574,🔥  🔥  🔥  😘  😘  😘  🥰  🥰  🥰  ❤ ️ ❤ ️ ❤ ️,0.681,0.0,0.319,0.9944,strongly positive
A1,10575,woman crush  😍  😍  😍,0.437,0.078,0.485,0.8126,strongly positive
A1,10576,could I have the jacket  🙏  🏻,0.0,0.0,1.0,0.0,neutral
A1,10579,"smile kylie, you look cute when you smile and looks good on you  😍",0.537,0.0,0.463,0.9169,strongly positive
A1,10580,why you keep posting this for attention??,0.0,0.0,1.0,0.0,neutral
A1,10581,this isn’t moco space,0.0,0.0,1.0,0.0,neutral
A1,10583,wrap it up there.... 😇,0.3,0.0,0.7,0.4588,positive
A1,10584,PRETTY IN RED ❤ ️,0.67,0.0,0.33,0.8455,strongly positive
A1,10588,first row  🔥,0.841,0.0,0.159,0.6486,strongly positive
A1,10599,😮 ‍ 💨  😮 ‍ 💨  😮 ‍ 💨,0.0,0.0,1.0,0.0,neutral
A1,10601,CB CB CB,0.0,0.0,1.0,0.0,neutral
A1,10604,A vision in red ❤ ️‍ 🔥,0.643,0.0,0.357,0.8402,strongly positive
A1,10605,you’re one to talk behind all those filters,0.0,0.0,1.0,0.0,neutral
A1,10606,only bad bitches get it. pretty from all angles,0.193,0.446,0.361,-0.6369,strongly negative
A1,10607,stunning  😮 ‍ 💨  ❤ ️,0.43,0.0,0.57,0.7783,strongly positive
A1,10611,sexy mama  🔥,0.861,0.0,0.139,0.7351,strongly positive
A1,10612,gorgeous glam & dazzling,0.571,0.0,0.429,0.6124,strongly positive
A1,10613,your beauty is a source of strength for me,0.5,0.0,0.5,0.7906,strongly positive
A1,10618,😘,0.483,0.0,0.517,0.4215,positive
A1,10622,😍  😍  😍  🔥  🔥,0.619,0.0,0.381,0.9274,strongly positive
A1,10623,🔥  🔥  🔥  😍  😍  😍  ❤ ️ ❤ ️,0.665,0.0,0.335,0.9771,strongly positive
A1,10624,always our khy!,0.0,0.0,1.0,0.0,neutral
A1,10625,looks like a hostel I lived in.,0.294,0.0,0.706,0.3612,positive
A1,10632,😍  🖖  😘,0.42,0.0,0.58,0.7003,strongly positive
