post_id,comment_id,comment_text,polarity,comment_train
A1,10208,🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥,strongly positive,🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥
A1,10209,she can do whtevr she wants get a life,neutral,whtevr want get life
A1,10210,dressing up would be more interesting if you were going somewhere exciting,strongly positive,dress would interest go somewhere excite
A1,10211,explain these poses...,neutral,explain pose
A1,10212,I was like ohhh  🔥   ❤ ️ yass then I seen the shoes  👞   🦆   😂  😂  😂  😂  😂  😂,strongly positive,like ohhh 🔥 ❤ ️ yass see shoe 👞 🦆 😂 😂 😂 😂 😂 😂
A1,10214,🔥  🔥  🔥,strongly positive,🔥 🔥 🔥
A1,10218,that wall is very dirty,negative,wall dirty
A1,10220,she sold her sole,neutral,sell sole
A1,10222,🤢  🤮  🤢  🤮  🤢  🤮  🤢  💩,strongly negative,🤢 🤮 🤢 🤮 🤢 🤮 🤢 💩
A1,10223,"I actually really love the shoes and the outfit overall, but of course everyone is entitled to their opinions!!",strongly positive,actually really love shoe outfit overall course everyone entitle opinion ! !
A1,10225,kay  🔥  🔥  🔥  🔥  🔥  🔥  🔥,strongly positive,kay 🔥 🔥 🔥 🔥 🔥 🔥 🔥
A1,10226,kylie.what?you and your sisters don't seek my partner approval.yet mom does.what do you and sisters expect!lmao,neutral,kyliewhatyou sister seek partner approvalyet mom doeswhat sister expect ! lmao
A1,10227,you’re so pretty  🥹,strongly positive,youre pretty 🥹
A1,10229,😍  ❤ ️,strongly positive,😍 ❤ ️
A1,10230,HOT miss jenner,positive,HOT miss jenner
A1,10231,🔥  🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,🔥 🔥 🔥 🔥 ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10232,say that to your forehead wrinkles she’s not aging,neutral,say forehead wrinkle shes age
A1,10233,queen ❤ ️ 🔥,strongly positive,queen ❤ ️ 🔥
A1,10234,shera did it first,neutral,shera first
A1,10236,❤ ️ ❤ ️ ❤ ️ 🙌  🙌  😍,strongly positive,❤ ️ ❤ ️ ❤ ️ 🙌 🙌 😍
A1,10240,💋 firsts,positive,💋 first
A1,10241,I love youuuuu,strongly positive,love youuuuu
A1,10243,💖  🤩  💎  🔥  🔥  🔥  🔥,strongly positive,💖 🤩 💎 🔥 🔥 🔥 🔥
A1,10244,V niceee  ❤ ️  🥰,strongly positive,V niceee ❤ ️ 🥰
A1,10245,look how cute a beautiful flower,strongly positive,look cute beautiful flower
A1,10248,youz,neutral,youz
A1,10251,ky is really spoiling her insta lately,neutral,ky really spoil insta lately
A1,10252,❤ ️ stunning,strongly positive,❤ ️ stun
A1,10253,that elevator looks gross,negative,elevator look gross
A1,10254,cute  🥰  🍓,strongly positive,cute 🥰 🍓
A1,10255,or wherever that is,neutral,wherever
A1,10256,❤ ️ ❤ ️ ❤ ️ 😍  😍  😍  😍,strongly positive,❤ ️ ❤ ️ ❤ ️ 😍 😍 😍 😍
A1,10257,follow,neutral,follow
A1,10259,she looks a mess  ☠ ️ ☠ ️,strongly negative,look mess ☠ ️ ☠ ️
A1,10260,she doesn’t look 16 anymore shes grown,neutral,doesnt look anymore shes grown
A1,10261,"I think you are amazing, but whatever your using has stolen allllllll that natural beauty  😢",positive,think amaze whatever use steal allllllll natural beauty 😢
A1,10262,🌶 ️red chilli hot 🌶 ️,strongly positive,🌶 ️red chilli hot 🌶 ️
A1,10266,😂  😂,strongly positive,😂 😂
A1,10270,gorgeous  ❤ ️,strongly positive,gorgeous ❤ ️
A1,10271,rowssss  ❤ ️,strongly positive,row ❤ ️
A1,10278,sorry but she’s loosing the grip on photo shoots.  don’t see that effort of style poise on these photos,negative,sorry shes loose grip photo shoot dont see effort style poise photo
A1,10281,I love u,strongly positive,love
A1,10284,"poor kylie, she hates herself so much.  😭",strongly negative,poor kylie hate much 😭
A1,10285,gorgeous  😍  😍  😍  😍,strongly positive,gorgeous 😍 😍 😍 😍
A1,10287,QUEEN IN RED ❤ ️‍ 🔥  🔥,strongly positive,QUEEN RED ❤ ️‍ 🔥 🔥
A1,10292,STUNNING,positive,STUN
A1,10293,it’s giving him..  💋  ‼ ️,strongly positive,it give him 💋 ‼ ️
A1,10294,what dirty azzzzzz place is she at  😂,neutral,dirty azzzzzz place 😂
A1,10295,✌ ️ ❤ ️ 🎵  🎸  😋,strongly positive,✌ ️ ❤ ️ 🎵 🎸 😋
A1,10296,what are thooooooose  😭,negative,thooooooose 😭
A1,10301,first ❤ ️,strongly positive,first ❤ ️
A1,10305,💖  LBBLBB CBB ROW  💖,strongly positive,💖 LBBLBB CBB ROW 💖
A1,10309,YOU in red  😮 ‍ 💨  🔥  👏,strongly positive,red 😮 ‍ 💨 🔥 👏
A1,10310,that wall is so nasty & dirty  🤢  🤢,strongly negative,wall nasty dirty 🤢 🤢
A1,10311,granny's hot to trot  😂,strongly positive,granny hot trot 😂
A1,10313,I love you kizzle  ❤ ️,strongly positive,love kizzle ❤ ️
A1,10315,❤ ️ ❤ ️ 😍  😍  😍,strongly positive,❤ ️ ❤ ️ 😍 😍 😍
A1,10316,kylie why u in the ghetto,neutral,kylie ghetto
A1,10317,😍  😍  😍  ❤ ️ ❤ ️ ❤ ️,strongly positive,😍 😍 😍 ❤ ️ ❤ ️ ❤ ️
A1,10318,the wall  ick  🤢,strongly negative,wall ick 🤢
A1,10320,💜  💜  💜  😍  😍  😍  😍  💜  💜  💜  💜  😍  💜  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  😍  😍  😍  😍  😍  😍  😍  😍  💜  💜  😍  💜  💜  💜  😍,strongly positive,💜 💜 💜 😍 😍 😍 😍 💜 💜 💜 💜 😍 💜 💜 💜 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 💜 💜 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 😍 💜 💜 😍 😍 😍 😍 😍 😍 😍 😍 😍 💜 💜 😍 💜 💜 💜 😍
A1,10321,hair is so dreamy,neutral,hair dreamy
A1,10322,you appear to be born in 07 and you look older than kylie,neutral,appear born 0 look old kylie
A1,10323,"no I don't look older than kylie. and I'm not born in 07. that is not my year of born, sorry.",negative,look old kylie born 0 year born sorry
A1,10324,I luv kylie but yes I wouldn't need to ID her,strongly positive,luv kylie yes need ID
A1,10325,feel like u inspired this look  ❤ ️,strongly positive,feel like inspire look ❤ ️
A1,10328,shoes need to go bye bye.,neutral,shoe need go bye bye
A1,10336,stunning bbg,positive,stun bbg
A1,10338,all I see is dirty walls and floor,negative,see dirty wall floor
A1,10340,how does she look older than  ? WTF,strongly negative,look old WTF
A1,10341,she looks older than kris  😮,neutral,look old kris 😮
A1,10344,🔥  😮,positive,🔥 😮
A1,10349,my red queen 😍,strongly positive,red queen 😍
A1,10353,"went from king kylie, to queen kylie 🔥",strongly positive,go king kylie queen kylie 🔥
A1,10354,😍  ❤ ️ 😍  ❤ ️ 😍  ❤ ️ ❤ ️ 😍  ❤ ️ 😍  ❤ ️ 😍  ❤ ️ ❤ ️,strongly positive,😍 ❤ ️ 😍 ❤ ️ 😍 ❤ ️ ❤ ️ 😍 ❤ ️ 😍 ❤ ️ 😍 ❤ ️ ❤ ️
A1,10357,who takes these pictures. the poses are awful,negative,take picture pose awful
A1,10359,oooh love this red girl !!  🔥  ❤ ️ 😍,strongly positive,oooh love red girl ! ! 🔥 ❤ ️ 😍
A1,10360,you are cute them shoes are not!  😂,strongly positive,cute shoe not ! 😂
A1,10361,❤ ️ 🔥,strongly positive,❤ ️ 🔥
A1,10363,does not even look like young  beautiful kylie.,positive,even look like young beautiful kylie
A1,10364,no soportaron tus medias rojas pero tu fashion nunca infashion  🙊  ✨,positive,soportaron tus medias rojas pero tu fashion nunca infashion 🙊 ✨
A1,10365,😍  😍,strongly positive,😍 😍
A1,10366,CBCBCB,neutral,CBCBCB
A1,10378,homeless chic,positive,homeless chic
A1,10383,"do you ever just have a day where you don't bother wish hair and makeup, sit around eating snacks and watching movies all day?",negative,ever day bother wish hair makeup sit around eat snack watch movie day
A1,10384,telling my kids this was doña lety  ❤ ️,strongly positive,tell kid doña lety ❤ ️
A1,10385,this 😍,positive,😍
A1,10386,not an up close beauty…. more of a pull back kinda allure,neutral,close beauty… pull back kinda allure
A1,10390,😍  😍  😍  😍  😍,strongly positive,😍 😍 😍 😍 😍
A1,10392,🤲  ✨ ️ 💫  👐  ❤ ️ 🥰  😘  😊,strongly positive,🤲 ✨ ️ 💫 👐 ❤ ️ 🥰 😘 😊
A1,10393,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10394,5+ inches above the struggle like.... 😉,positive,inch struggle like 😉
A1,10397,😂  😂  😂,strongly positive,😂 😂 😂
A1,10403,❤ ️ 🔥  😍,strongly positive,❤ ️ 🔥 😍
A1,10405,she’s perfect,strongly positive,shes perfect
A1,10406,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10410,first  ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,first ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10411,first  ❤ ️ ❤ ️,strongly positive,first ❤ ️ ❤ ️
A1,10412,first  😍,positive,first 😍
A1,10418,first  😍  😍  😍,strongly positive,first 😍 😍 😍
A1,10420,CBBBB  ❤ ️,strongly positive,CBBBB ❤ ️
A1,10421,red  ❤ ️ 🔥  😍,strongly positive,red ❤ ️ 🔥 😍
A1,10422,that’s what she said  🔥  🔥  🔥,strongly positive,thats say 🔥 🔥 🔥
A1,10424,"you are beautiful, my kylie",strongly positive,beautiful kylie
A1,10431,💅,neutral,💅
A1,10433,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10435,🔥  ❤ ️ 💋  🌹,strongly positive,🔥 ❤ ️ 💋 🌹
A1,10436,how are you,neutral,
A1,10437,what's your favourite thing about,neutral,whats favourite thing
A1,10441,♦ ️ ♦ ️ ♦ ️,strongly positive,♦ ️ ♦ ️ ♦ ️
A1,10444,😍  😍  😍  😍  😍  😍  😍,strongly positive,😍 😍 😍 😍 😍 😍 😍
A1,10445,🌶 ️,positive,🌶 ️
A1,10446,omg you can't even move your face  😵 ‍ 💫,negative,omg cant even move face 😵 ‍ 💫
A1,10449,🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥,strongly positive,🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥
A1,10454,loooooves you for reals,neutral,loooooves real
A1,10460,michelle and high heels  👠  are very good for the heart  ❤,strongly positive,michelle high heel 👠 good heart ❤
A1,10462,yesss   ❤ ️ ❤ ️ ❤ ️,strongly positive,yes ❤ ️ ❤ ️ ❤ ️
A1,10463,queen  ❤ ️,strongly positive,queen ❤ ️
A1,10465,her face doesn’t move ….,neutral,face doesnt move …
A1,10468,stunning in red ❤ ️,strongly positive,stun red ❤ ️
A1,10469,does this make your life better in any way?,positive,make life better way
A1,10470,love u  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥,strongly positive,love ❤ ️‍ 🔥 ❤ ️‍ 🔥 ❤ ️‍ 🔥 ❤ ️‍ 🔥
A1,10471,✨  💛  💛  💛  💛  💛  💛  💛  👑  💛  💛  💛  💛  💛  💛  💛  ✨,strongly positive,✨ 💛 💛 💛 💛 💛 💛 💛 👑 💛 💛 💛 💛 💛 💛 💛 ✨
A1,10472,you have lost so much weight  😭,strongly negative,lose much weight 😭
A1,10473,love ❤ ️,strongly positive,love ❤ ️
A1,10475,beautiful,strongly positive,beautiful
A1,10476,the music,neutral,music
A1,10479,❤ ️ ❤ ️ 💋,strongly positive,❤ ️ ❤ ️ 💋
A1,10480,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10481,change your hairstyle its makes you a lil older,neutral,change hairstyle make lil old
A1,10495,😍  😍  😍  😍  😍  👏  👏  🔥  🔥  👏  😍  👏  🔥  🔥  ❤ ️ ❤ ️ ❤ ️,strongly positive,😍 😍 😍 😍 😍 👏 👏 🔥 🔥 👏 😍 👏 🔥 🔥 ❤ ️ ❤ ️ ❤ ️
A1,10496,❤ ️‍ 🩹,strongly positive,❤ ️‍ 🩹
A1,10497,"there are some things that even kylie jenner, can’t get away with. this outfit is horrendous especially those shoes",strongly negative,thing even kylie jenner cant get away with outfit horrendous especially shoe
A1,10498,♥ ️,strongly positive,♥ ️
A1,10500,flirty red...,positive,flirty red
A1,10501,💖,strongly positive,💖
A1,10507,😮  😍,positive,😮 😍
A1,10508,♥ ️ ♥ ️ ♥ ️,strongly positive,♥ ️ ♥ ️ ♥ ️
A1,10509,wtf is this? you on drugs?,strongly negative,wtf this drug
A1,10511,KYLIE LINDAAAA EU TE AMO MARAVILHOSA 😍  😍  ❤ ️ ❤ ️,strongly positive,KYLIE LINDAAAA EU TE AMO MARAVILHOSA 😍 😍 ❤ ️ ❤ ️
A1,10515,beautiful woman i want you,strongly positive,beautiful woman want
A1,10518,🧡  🧡  🧡,strongly positive,🧡 🧡 🧡
A1,10521,background  😮  ?!! for modelling ! appalling,strongly negative,background 😮 ! ! model ! appal
A1,10522,you can’t stop yourself. been posting since every other minute,negative,cant stop yourself post since every minute
A1,10523,stunning  🔥,strongly positive,stun 🔥
A1,10525,red on you>>>>>>>>,neutral,red you
A1,10526,🔥  😍,strongly positive,🔥 😍
A1,10528,🙏  ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,🙏 ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10530,gorgeous  😍  👄  ❤ ️,strongly positive,gorgeous 😍 👄 ❤ ️
A1,10532,I love this outfit  🤣  🤣,strongly positive,love outfit 🤣 🤣
A1,10533,👏  👏,strongly positive,👏 👏
A1,10537,I was thinking the same thing man she's only 26. this isn't hating either but I wouldn't even ID her,positive,think thing man hat either even ID
A1,10541,💞  💞,strongly positive,💞 💞
A1,10545,FIRST  ❤ ️ ❤ ️,strongly positive,FIRST ❤ ️ ❤ ️
A1,10546,😍  💜  💓  💓  💓  💓  💓  🌹  🌹  🌹  💋,strongly positive,😍 💜 💓 💓 💓 💓 💓 🌹 🌹 🌹 💋
A1,10548,love this era of kylie not giving af,positive,love era kylie give af
A1,10549,🙌  🙌  🙌  🙌,neutral,🙌 🙌 🙌 🙌
A1,10554,gorgeous so beautiful oh my goodness ❤ ️ ❤ ️,strongly positive,gorgeous beautiful oh goodness ❤ ️ ❤ ️
A1,10558,😘  😘  😘,strongly positive,😘 😘 😘
A1,10560,kylie trying to prove in the last video that she doesnt have any wrinkles  😢  😢  but still looks mature,positive,kylie try prove last video wrinkle 😢 😢 still look mature
A1,10562,❤ ️ ❤ ️ ❤ ️ 🔥  🔥,strongly positive,❤ ️ ❤ ️ ❤ ️ 🔥 🔥
A1,10566,🔥  🔥  🔥  🔥  🔥,strongly positive,🔥 🔥 🔥 🔥 🔥
A1,10572,love  you are stunning,strongly positive,love stun
A1,10573,😢,negative,😢
A1,10574,🔥  🔥  🔥  😘  😘  😘  🥰  🥰  🥰  ❤ ️ ❤ ️ ❤ ️,strongly positive,🔥 🔥 🔥 😘 😘 😘 🥰 🥰 🥰 ❤ ️ ❤ ️ ❤ ️
A1,10575,woman crush  😍  😍  😍,strongly positive,woman crush 😍 😍 😍
A1,10576,could I have the jacket  🙏  🏻,neutral,could jacket 🙏 🏻
A1,10579,"smile kylie, you look cute when you smile and looks good on you  😍",strongly positive,smile kylie look cute smile look good 😍
A1,10580,why you keep posting this for attention??,neutral,keep post attention
A1,10581,this isn’t moco space,neutral,isnt moco space
A1,10583,wrap it up there.... 😇,positive,wrap there 😇
A1,10584,PRETTY IN RED ❤ ️,strongly positive,PRETTY RED ❤ ️
A1,10588,first row  🔥,strongly positive,first row 🔥
A1,10599,😮 ‍ 💨  😮 ‍ 💨  😮 ‍ 💨,neutral,😮 ‍ 💨 😮 ‍ 💨 😮 ‍ 💨
A1,10601,CB CB CB,neutral,CB CB CB
A1,10604,A vision in red ❤ ️‍ 🔥,strongly positive,vision red ❤ ️‍ 🔥
A1,10605,you’re one to talk behind all those filters,neutral,youre one talk behind filter
A1,10606,only bad bitches get it. pretty from all angles,strongly negative,bad bitch get it pretty angle
A1,10607,stunning  😮 ‍ 💨  ❤ ️,strongly positive,stun 😮 ‍ 💨 ❤ ️
A1,10611,sexy mama  🔥,strongly positive,sexy mama 🔥
A1,10612,gorgeous glam & dazzling,strongly positive,gorgeous glam dazzle
A1,10613,your beauty is a source of strength for me,strongly positive,beauty source strength
A1,10618,😘,positive,😘
A1,10622,😍  😍  😍  🔥  🔥,strongly positive,😍 😍 😍 🔥 🔥
A1,10623,🔥  🔥  🔥  😍  😍  😍  ❤ ️ ❤ ️,strongly positive,🔥 🔥 🔥 😍 😍 😍 ❤ ️ ❤ ️
