post_id,comment_id,polarity,comment_text
C3A,41202,negative,yeah tristan really fuced up
B3,29469,strongly positive,hottie  😍 😍 😍
A7,22339,positive,🌷 😘
C3B,42348,neutral,"pleasee do not block / look at your dms, im just tryna have fun im not a bot lol i just wanna talk lowkey. at least give me a chanceee"
C3A,41434,neutral,we get it.  it's a table
C3B,42162,strongly positive,you become more beautiful and attractive day by day  ❤ 😍
B2,26715,neutral,how can she wear those for hours ? I don’t get it
E3,67775,neutral,I just want to know what kind of a coat is that?
E2,66598,neutral,I think I will have to check it out.
B3,29286,neutral,‼️ ‼️ ‼️
D5,61095,neutral,👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️ 👁️
C4,43666,strongly positive,hey  💋 💋 💋 💋
C4,42894,strongly positive,i love u
E2,65832,strongly positive,target queen  👸  ❤
D4,54011,neutral,go visit your horse... sincerely yours willber
E1,63414,strongly negative,that’s so rude
A3A,14897,neutral,just advertising and promoting their brands all the time  🙈
E2,64423,neutral,"apparently, you do."
C3A,41603,strongly positive,🇵🇸🇵🇸🇵🇸🇵🇸 ❤ ❤ ❤ ❤
C1,37067,strongly positive,you so HOT AF!
B1,23793,positive,thank you kim!!
A4,16423,positive,let us know pls  💄
E1,63619,negative,I don't believe for a second she shops at target! why target why?
E3,68629,strongly positive,I love your laughter  🥰 🥰
A5,18719,strongly negative,you’re so nasty
B1,25515,strongly positive,good lawd!  😍
D4,52368,strongly positive,I LOVE YOU BABY GIRL. FUCK THE HATERS
D2,49169,positive,that ride  🔥
A2,12673,strongly positive,first  ❤ 😮
D5,61734,negative,my question isn’t treating bad
E2,66159,negative,why target  😩
B2,27111,negative,all that money spent on your looks and still dependent on filters.
C1,35766,negative,gyal take a seat and end of.
D4,55565,neutral,mother  🥹
A3B,14925,neutral,foundation to match spray tan. that’s too much work
A7,23112,strongly negative,where did the ass go?
D1,45516,strongly positive,😮 😍 👏 🔥 🙌 ❤ ❤ ❤
D5,58202,strongly positive,❤ ❤ ❤ 🔥 🔥 🔥 😍 😍 😍 😍 😍
